product_name,product_category,raw_material,processing_type,value_addition_percent,shelf_life_days,market_size_crore,growth_rate_percent
Rice Flour,Grain Processing,Rice,Milling,40,180,2500,12.5
Puffed Rice,Grain Processing,Rice,Puffing,60,90,1800,15.0
Rice Bran Oil,Oil Extraction,Rice,Extraction,120,365,3200,18.5
Flattened Rice,Grain Processing,Rice,Flattening,50,120,1500,10.8
Rice Vermicelli,Grain Processing,Rice,Extrusion,80,180,800,14.2
Rice Starch,Grain Processing,Rice,Extraction,100,365,600,16.0
Idli Dosa Batter,Ready Food,Rice,Fermentation,150,7,1200,22.0
Wheat Flour,Grain Processing,Wheat,Milling,30,120,18000,8.5
Semolina,Grain Processing,Wheat,Milling,45,180,3500,9.2
Macaroni Pasta,Grain Processing,Wheat,Extrusion,120,365,2200,15.8
Bread,Bakery,Wheat,Baking,200,5,12000,12.0
Biscuits,Bakery,Wheat,Baking,300,180,45000,10.5
Noodles,Grain Processing,Wheat,Extrusion,150,365,8500,18.0
Cookies,Bakery,Wheat,Baking,350,120,8000,14.5
Maize Starch,Grain Processing,Maize,Extraction,90,365,4800,12.0
Cornflakes,Cereal,Maize,Flaking,250,180,3500,20.0
Corn Oil,Oil Extraction,Maize,Extraction,140,365,1500,16.5
Popcorn,Snacks,Maize,Popping,300,120,800,22.0
Animal Feed,Feed,Maize,Grinding,30,90,15000,10.0
Millet Flour,Grain Processing,Millets,Milling,50,120,1200,35.0
Millet Cookies,Bakery,Millets,Baking,400,120,500,45.0
Health Drinks,Beverages,Millets,Processing,500,365,800,40.0
Potato Chips,Snacks,Potato,Frying,400,90,25000,15.0
Potato Starch,Starch,Potato,Extraction,80,365,2800,12.0
French Fries,Frozen Food,Potato,Frying,350,180,5500,22.0
Dehydrated Potato,Preserved,Potato,Dehydration,120,365,1200,18.0
Potato Flakes,Processed,Potato,Dehydration,150,365,800,20.0
Tomato Paste,Sauce,Tomato,Concentration,200,365,3500,16.0
Tomato Ketchup,Sauce,Tomato,Processing,350,365,5500,14.5
Tomato Powder,Preserved,Tomato,Dehydration,280,365,800,25.0
Sun-dried Tomato,Preserved,Tomato,Drying,400,365,400,30.0
Onion Powder,Preserved,Onion,Dehydration,300,365,1500,22.0
Onion Paste,Processed,Onion,Grinding,120,30,800,18.0
Onion Flakes,Preserved,Onion,Dehydration,250,365,600,20.0
Pickled Onion,Preserved,Onion,Pickling,180,365,300,15.0
Chili Powder,Spice Processing,Chili,Grinding,100,365,8500,10.0
Chili Flakes,Spice Processing,Chili,Crushing,120,365,2000,15.0
Chili Sauce,Sauce,Chili,Processing,250,365,3200,18.5
Chili Oil,Oil Extraction,Chili,Extraction,300,365,500,25.0
Turmeric Powder,Spice Processing,Turmeric,Grinding,80,365,12000,14.0
Curcumin Extract,Pharma,Turmeric,Extraction,1500,730,5500,28.0
Turmeric Oil,Oil Extraction,Turmeric,Extraction,400,365,800,22.0
Turmeric Capsules,Pharma,Turmeric,Processing,2000,730,3200,35.0
Organic Turmeric,Organic,Turmeric,Certification,200,365,2500,30.0
Ginger Powder,Spice Processing,Ginger,Grinding,120,365,3500,15.0
Ginger Oil,Oil Extraction,Ginger,Extraction,500,365,800,20.0
Ginger Candy,Confectionery,Ginger,Processing,400,180,500,25.0
Garlic Powder,Spice Processing,Garlic,Grinding,200,365,2500,18.0
Garlic Paste,Processed,Garlic,Grinding,100,90,1800,14.0
Coconut Oil,Oil Extraction,Coconut,Extraction,80,365,18000,8.5
Virgin Coconut Oil,Oil Extraction,Coconut,Cold Press,200,365,5500,25.0
Coconut Milk,Beverages,Coconut,Extraction,150,90,2200,22.0
Coconut Water,Beverages,Coconut,Packaging,120,30,3500,30.0
Desiccated Coconut,Preserved,Coconut,Drying,130,365,1800,15.0
