product_name,hs_code,export_value_crore,export_volume_tons,top_destinations,growth_rate_percent,certifications_required,price_range_usd_per_ton
Basmati Rice,1006,32000,4500000,"Saudi Arabia;Iran;Iraq;UAE;Kuwait",8.5,"APEDA;Phytosanitary;Fumigation;FSSAI","800-1500"
Non-Basmati Rice,1006,15000,12000000,"Bangladesh;Nepal;Benin;Senegal;Guinea",12.0,"APEDA;Phytosanitary;FSSAI","350-600"
Wheat,1001,5500,3200000,"Bangladesh;Sri Lanka;Nepal;UAE",6.5,"Phytosanitary;FSSAI;BIS","250-400"
Maize,1005,3200,2800000,"Bangladesh;Nepal;Vietnam;Malaysia",10.0,"Phytosanitary;FSSAI","200-350"
Millets,1008,800,200000,"UAE;USA;UK;Germany;Japan",35.0,"APEDA;Organic NPOP;FSSAI","400-800"
Turmeric,0910,2500,180000,"USA;Germany;Japan;UAE;UK",18.0,"Spices Board;APEDA;Organic NPOP;ISO 22000","1500-4000"
Chili,0904,4500,500000,"China;Thailand;Vietnam;Bangladesh;Sri Lanka",10.0,"Spices Board;APEDA;Phytosanitary","1200-3000"
Black Pepper,0904,2800,50000,"USA;UK;Germany;UAE;Japan",8.0,"Spices Board;APEDA;Organic NPOP","5000-12000"
Cardamom,0908,1200,8000,"Saudi Arabia;UAE;Japan;USA",6.0,"Spices Board;APEDA;ISO","15000-35000"
Cumin,0909,2000,180000,"USA;UK;Turkey;Bangladesh;UAE",12.0,"Spices Board;APEDA;FSSAI","2000-4000"
Coriander,0909,800,100000,"Malaysia;Singapore;UAE;UK",9.0,"Spices Board;APEDA;FSSAI","1000-2500"
Ginger,0910,600,60000,"USA;UK;Bangladesh;UAE;Saudi Arabia",14.0,"Spices Board;APEDA;FSSAI","800-2000"
Garlic,0703,400,50000,"Bangladesh;Nepal;Sri Lanka;UAE",8.0,"Phytosanitary;FSSAI","500-1200"
Groundnut,1202,5500,800000,"Indonesia;Vietnam;Philippines;Malaysia",10.0,"APEDA;Aflatoxin Test;FSSAI","800-1500"
Soybean Meal,2304,3200,3500000,"Japan;South Korea;Vietnam;Thailand",7.0,"APEDA;Non-GMO;FSSAI","350-600"
Sesame,1207,3000,350000,"China;South Korea;Japan;Vietnam;Turkey",12.0,"APEDA;FSSAI","1200-2500"
Mustard,1207,200,50000,"UAE;Nepal;Bangladesh",5.0,"APEDA;FSSAI","600-1000"
Coconut Products,0801,2500,500000,"USA;UAE;UK;Germany;Japan",15.0,"APEDA;Coir Board;FSSAI","500-3000"
Cotton,5201,8500,5000000,"China;Bangladesh;Vietnam;Pakistan",6.0,"Cotton Association;DGFT;BIS","1200-2200"
Jute,5303,1200,200000,"Bangladesh;USA;UK;Germany",4.0,"Jute Board;DGFT","400-800"
Banana,0803,1500,250000,"UAE;Saudi Arabia;Oman;Iran;Kuwait",14.0,"APEDA;Phytosanitary;FSSAI","300-800"
