Crop,Season,Soil,State,Rainfall_mm,Temperature_C,Fertilizer_kg_ha,Yield_kg_ha,Total_Cost,Market_Price_kg,Profit
Cotton,Kharif,Red,Maharashtra,1213.5983003546,32.90550473839461,116.87491292803867,1679.9799326544023,11863.457707899792,56.14300226882911,82455.65946270368
Maize,Rabi,Alluvial,Andhra Pradesh,1138.5984039468722,43.1565812704725,50.11681487615215,5984.423118582435,13545.090166847427,16.23179837348873,83592.85927562728
Rice,Kharif,Red,Maharashtra,719.8192632298321,16.399969896408464,196.06332782621888,3572.434144688487,15741.036301654483,19.912309956335815,55394.37968598009
Cotton,Kharif,Red,Uttar Pradesh,989.8083074718699,20.115723710618745,59.75773894779193,2359.1084298026667,16227.576309732289,58.56920653760056,121943.53255997463
Sugarcane,Rabi,Laterite,Punjab,772.1982418614817,18.661147045343366,124.27653651669053,56962.878591226116,11937.311149452154,3.1968917132654866,170166.8433825866
Wheat,Rabi,Black,Andhra Pradesh,938.0104261659889,15.939398773666758,176.34271618924976,3429.655786717672,18886.16833572566,27.04544997410263,73870.41567233874
Groundnut,Zaid,Laterite,Telangana,1449.5236316541539,40.33601546034454,162.09801652060713,1523.8152794334478,19274.640151549294,52.58792809608356,60859.64819501033
Sugarcane,Kharif,Alluvial,Uttar Pradesh,296.91583678370205,44.60660809801552,165.8367153944986,61564.03908295683,16979.631768123716,3.2301430078857125,181881.01861289202
Maize,Zaid,Alluvial,Maharashtra,296.2580472543175,25.753971856328178,67.38035892876945,5726.206851751188,11091.534617343219,16.486012576287106,83310.78355504826
Groundnut,Kharif,Red,Punjab,1028.824712761777,41.616382277289794,120.83223877429239,1271.756547562981,16594.362442489313,52.0159649696187,49557.28158542993
Groundnut,Zaid,Red,Telangana,1123.8617565915238,18.326724624354938,115.90047527986552,1321.0315214012378,13915.357130928705,52.04094464970479,54832.37115482842
Cotton,Rabi,Alluvial,Uttar Pradesh,901.793418692175,21.091836742043082,191.42803558369715,2079.0923731908288,19175.416501386077,63.365310722006896,112566.9177456055
Groundnut,Kharif,Alluvial,Punjab,1244.7736999688489,20.597101766581076,183.88384977349668,1523.6053451493906,19349.75022745096,48.975043437148294,55268.88773231176
Rice,Kharif,Alluvial,Maharashtra,755.2401252141332,39.54044297767479,179.10958748845152,3211.123408849905,14022.422735123171,19.11053905235365,47343.876571629924
Maize,Rabi,Laterite,Maharashtra,620.1638116269818,30.563718652300985,155.45284383427668,4727.259204758589,19691.202950188086,17.33302033121414,62246.47695681172
Wheat,Zaid,Alluvial,Uttar Pradesh,570.2926426907079,16.106608420635983,141.4346500969845,3503.7506325204063,11192.375771180788,28.176661787291586,87531.62078835566
Maize,Rabi,Black,Uttar Pradesh,836.2885883608319,44.56951362331802,86.30829072672506,5344.2710948117565,10744.970677451574,19.47697356875337,93345.25618044964
Sugarcane,Rabi,Black,Maharashtra,1261.361435185199,38.95035374953653,72.60763159481442,70229.56574874013,16579.45989021981,2.9444691789014135,190209.33190457587
Cotton,Zaid,Black,Maharashtra,1252.3513599816301,25.45997961875188,64.42648266371312,2352.418611591683,12562.401190180346,66.56565158860992,144027.87649959314
Maize,Kharif,Alluvial,Andhra Pradesh,1402.1017037621316,41.32018060142943,88.69124415727333,5319.968092068358,14051.666299441915,18.58342760260203,84811.57558766326
Wheat,Kharif,Laterite,Punjab,925.7814896892269,41.479090295680194,78.30606625120691,3190.4198936290545,16583.269492366355,27.85202682423808,72276.39096557288
Groundnut,Kharif,Laterite,Punjab,309.3819544935635,19.84886142283841,184.78312827906188,1563.857435795754,10224.173571666503,53.2937721138507,73119.68823018332
Sugarcane,Rabi,Laterite,Andhra Pradesh,831.2978796620946,28.452724289587422,199.1686193916231,60925.90707496567,14449.422585090091,2.8341170319159965,158221.7283410014
Maize,Kharif,Laterite,Telangana,905.3022997213691,30.2644223051628,145.4498927278843,4500.923637211168,19082.73270864859,18.390339688317546,63690.781890842525
Maize,Zaid,Black,Uttar Pradesh,853.4282210367497,32.30711653879077,123.87765407282959,4390.485975596089,11868.954878757408,16.309421848941543,59737.333019100864
Rice,Kharif,Laterite,Punjab,810.9278681882258,23.38681025390276,182.52410333993885,4396.3500382358625,13887.592884039843,20.763824834177452,77397.44921961895
Maize,Kharif,Laterite,Uttar Pradesh,700.6270471825028,40.534100145505704,97.53830077344165,4338.985493372185,17647.51565076417,19.332134085037378,66234.33370013899
Groundnut,Rabi,Laterite,Andhra Pradesh,530.4127437906604,23.85871765256816,98.38261463579008,1709.2018769548044,14761.694258980031,51.91024971134885,73963.40198085002
Wheat,Zaid,Black,Maharashtra,533.0690266727954,33.34541132597042,62.239127060036054,2807.2588078835815,9629.363698744097,22.943380731249547,54778.64394168264
Groundnut,Rabi,Laterite,Maharashtra,639.3937039069965,26.26748857919832,64.09729097613035,1546.9680845977045,11491.839411542322,51.78305793384471,68614.89853498939
Sugarcane,Rabi,Black,Andhra Pradesh,239.65032492076426,16.12044566247643,173.39008409894873,66085.33795951535,14380.825051504846,3.277495164823958,202213.5505765639
Cotton,Kharif,Red,Punjab,1294.6299975155757,20.83140101984619,111.70308575850179,2159.609768613755,9269.045576226436,68.5430530067124,138757.20126768007
Wheat,Rabi,Red,Telangana,718.4671718782329,28.005622127422264,161.6063964498673,3151.2047382853257,9817.358106666377,25.176965468375673,69520.41477292507
Cotton,Kharif,Alluvial,Andhra Pradesh,1389.7778459144247,28.270566891933132,85.96810387361049,1675.0986320650334,16839.80104653027,63.574058907650254,89653.01806449653
Sugarcane,Zaid,Laterite,Uttar Pradesh,995.2369701046579,27.588001872833697,87.15964842517363,65967.23500223532,8523.897020497585,2.7870544803801875,175330.38085077508
Sugarcane,Zaid,Alluvial,Punjab,427.9293508561401,15.514833054952508,164.50466345058663,78593.56335742182,13956.28788004195,3.1873302619820723,236547.35500607392
Wheat,Rabi,Black,Uttar Pradesh,1352.6845034874618,22.82680870025142,52.295681043557714,4106.810831311276,12691.247930744668,26.774773558738378,97267.68212618887
Wheat,Kharif,Laterite,Maharashtra,1241.2340830871196,35.315050271489454,136.00505625079,2979.9004945274746,17643.302147559356,26.41212293813483,61062.19605730908
Rice,Kharif,Laterite,Andhra Pradesh,468.689667839769,23.218833819634014,82.18836795625612,3803.6145331647613,13384.7509009694,19.682771074443632,61480.92321073938
Wheat,Kharif,Black,Andhra Pradesh,230.25351645657364,39.43405447766807,92.27821621600998,2965.430758670319,14680.098540165265,27.98420008454408,68305.1091473263
Cotton,Kharif,Alluvial,Uttar Pradesh,566.6449443426984,20.323186313391684,162.59221274612875,2245.4677914138115,14363.77873703785,59.580271286891744,119421.80144137467
Groundnut,Kharif,Laterite,Telangana,1083.7982138703196,37.19726281342123,85.73542286059691,1426.637331705777,12981.81157433856,49.87022607774004,58164.91468877235
Sugarcane,Zaid,Red,Telangana,269.53088577157956,43.75624490649595,177.07147161433846,65937.34533295617,17244.329804219487,3.061890712231982,184648.61545999185
Wheat,Zaid,Laterite,Uttar Pradesh,319.2153914360254,33.073227777033566,133.05545785187013,3097.8190530339207,17393.361476071965,23.20915376260905,54504.39725453226
Sugarcane,Rabi,Black,Andhra Pradesh,773.9896517853902,41.63112548274899,102.6372518828118,59277.87645997297,15382.338877910213,3.1636635474871957,172152.9180509556
Sugarcane,Rabi,Red,Uttar Pradesh,489.3493428423397,26.899548058627555,183.7845363165165,60104.93500737671,12277.960703614197,3.1359790629200868,176209.85705769176
Sugarcane,Kharif,Black,Punjab,507.6907517867024,42.23081119045639,138.78331082319266,65806.11090760877,14154.607889479808,2.983490692591691,182177.3115190275
Maize,Rabi,Black,Maharashtra,344.55672699799675,29.778753128725775,51.70304671511286,4937.321283988253,7806.695010505732,16.728868110496972,74789.10156848331
Rice,Zaid,Alluvial,Maharashtra,958.3793946263075,43.86517645423626,106.23058692855561,3657.139338050977,11163.46881604983,22.816112697203053,72278.23447029584
Cotton,Kharif,Laterite,Uttar Pradesh,256.10788553574895,41.73429341094213,129.15516636294498,2394.3718368954405,13732.341018375208,68.53953803428648,150376.7985647442
Wheat,Zaid,Alluvial,Telangana,1104.4732956800024,28.636231943033195,144.13371201260952,3618.0400366923404,10188.875059403254,24.25601993495144,77570.37619605858
Groundnut,Kharif,Laterite,Andhra Pradesh,444.5575076408897,28.910952148199463,103.00283420390792,1550.1936671105234,17420.6067161873,57.32763430599503,71448.32893539418
Groundnut,Zaid,Alluvial,Telangana,602.3859011722261,39.41385059120846,152.7096758830819,1297.5701636069348,18145.95672363409,56.87249891614905,55650.100999728646
Sugarcane,Zaid,Alluvial,Andhra Pradesh,307.572946045898,41.29984457777378,132.7381808816105,60615.35931183602,16547.66912986252,3.060277561399766,168952.15484833362
Rice,Zaid,Alluvial,Andhra Pradesh,695.158113620328,44.09743193443809,176.31783847035632,4541.3259275378205,13877.591532476232,19.36703535965353,74074.42828586011
Groundnut,Kharif,Alluvial,Uttar Pradesh,1495.627888196077,31.662951168078823,165.34811227707658,1766.8594379294568,12554.914348989625,50.63180169137617,76904.362328791
Groundnut,Kharif,Red,Uttar Pradesh,988.027024786144,21.85928416510388,150.7551026608785,1570.8769442747375,10187.92205226312,53.39466494491,73688.52605697054
Wheat,Rabi,Black,Maharashtra,876.2125514455914,40.5654450095562,132.78602581617284,3585.313160149541,13505.529582434945,23.337595177816507,70167.05753483305
Sugarcane,Kharif,Black,Andhra Pradesh,1246.5580677751705,42.09453176029879,142.5895568145938,83452.95630258658,15630.36612682753,3.1161117064066692,244418.36794190676
Maize,Zaid,Black,Punjab,911.680198968845,28.527313422483132,186.57069176049094,4595.918903083901,16993.23596416697,19.784122990532445,73932.98886895788
Wheat,Kharif,Black,Telangana,535.7177047886458,28.77407268714784,197.00488629282157,3489.6653315900176,16267.233684454952,24.000910117363706,67487.91027871726
Maize,Zaid,Alluvial,Maharashtra,380.47532444423314,34.226242344096434,77.28201265987173,4691.334566647726,13130.439270685176,19.204009823344624,76961.99583181395
Wheat,Kharif,Black,Maharashtra,253.12920114642253,20.068051892164938,91.78855085479378,3047.8146779874455,8675.183528737467,25.379867300204534,68677.94855419951
Wheat,Rabi,Black,Telangana,854.442452111314,35.71184485888096,55.89682097616484,3919.1745584726596,8377.377323248376,27.959866400667355,101202.21973254165
Sugarcane,Kharif,Black,Punjab,1248.0616637309797,37.447790711509754,77.6781529034566,61861.78105342789,12454.50106416642,3.1636910786477217,183257.06376382205
Groundnut,Rabi,Alluvial,Andhra Pradesh,247.68816375777726,22.573108330320622,157.00243788268287,1737.1241026123196,14728.699773480314,46.3396501417472,65769.02339437114
