previous_crop,crop,soil_type,temperature,humidity,yield,market_price,nitrogen,phosphorus,potassium,ph
sugarcane,cotton,high_nitrogen,21.4,73,3.85,6478,61,23,26,6.0
maize,rice,low_nitrogen,26.7,50,4.71,2270,57,22,29,6.1
rice,tomato,low_nitrogen,26.1,68,14.93,1842,70,31,46,6.3
sugarcane,groundnut,low_nitrogen,27.6,89,3.64,5424,44,54,28,6.0
rice,cotton,balanced,22.2,42,4.59,6980,56,41,21,7.1
groundnut,rice,high_nitrogen,29.6,56,4.92,2063,73,26,33,5.8
wheat,rice,high_nitrogen,31.1,63,4.97,2087,44,49,32,6.6
potato,cotton,low_nitrogen,24.9,73,4.25,6995,64,32,54,6.8
cotton,wheat,high_nitrogen,32.1,62,4.38,2094,39,27,55,6.4
groundnut,cotton,balanced,22.8,67,4.74,6471,83,53,35,6.0
tomato,maize,low_nitrogen,30.4,75,6.15,1949,46,52,34,7.1
maize,rice,high_nitrogen,22.8,51,4.86,1864,59,25,47,7.3
groundnut,rice,low_nitrogen,34.2,77,4.73,2420,90,60,41,5.6
groundnut,wheat,low_nitrogen,30.2,74,4.76,2231,66,58,47,6.9
groundnut,cotton,low_nitrogen,32.0,82,3.97,6446,78,27,35,6.6
tomato,potato,low_nitrogen,21.0,80,9.96,1130,51,45,39,5.6
maize,potato,low_nitrogen,24.3,76,9.7,1190,60,42,36,5.8
maize,sugarcane,low_nitrogen,27.7,89,30.08,463,65,39,25,7.4
cotton,tomato,low_nitrogen,20.7,54,14.93,1390,20,44,42,5.7
maize,groundnut,low_nitrogen,20.0,45,3.24,6056,63,54,33,6.1
maize,tomato,balanced,32.2,72,15.24,1609,48,26,40,5.6
sugarcane,rice,high_nitrogen,31.2,55,5.04,2358,50,56,21,7.3
cotton,tomato,balanced,25.4,71,15.52,1169,30,53,39,7.5
rice,potato,low_nitrogen,25.2,74,9.85,993,64,22,31,6.1
rice,cotton,balanced,34.2,55,4.29,7061,62,29,48,6.0
cotton,groundnut,low_nitrogen,22.3,60,3.61,5907,39,44,46,6.7
rice,maize,high_nitrogen,25.4,84,5.78,1792,54,32,43,7.4
rice,maize,high_nitrogen,31.0,81,5.98,1761,57,21,57,6.0
wheat,maize,low_nitrogen,23.6,60,6.23,1508,65,35,44,5.5
cotton,rice,balanced,28.7,79,5.43,2124,21,29,22,7.4
sugarcane,sugarcane,balanced,33.2,43,30.24,200,64,39,38,6.9
sugarcane,maize,low_nitrogen,32.2,61,6.11,1926,53,31,25,5.5
groundnut,rice,low_nitrogen,32.1,74,4.33,2535,82,23,31,7.2
maize,wheat,balanced,23.4,48,5.14,2060,53,24,36,6.1
rice,tomato,low_nitrogen,26.5,75,15.26,1494,44,59,23,5.5
maize,sugarcane,balanced,30.5,81,30.45,357,51,42,37,6.3
rice,sugarcane,balanced,24.8,78,30.3,200,44,59,31,6.6
potato,cotton,balanced,29.8,74,4.63,6804,56,39,34,6.8
potato,cotton,low_nitrogen,20.8,74,4.17,6679,43,53,58,6.0
rice,potato,low_nitrogen,25.3,66,9.82,1004,55,55,32,6.3
wheat,maize,balanced,25.3,76,6.39,2111,63,28,27,6.3
maize,sugarcane,low_nitrogen,30.8,86,29.71,612,67,23,20,6.3
maize,groundnut,low_nitrogen,31.4,65,3.57,5757,57,60,35,5.7
potato,groundnut,low_nitrogen,20.6,84,3.21,6067,40,48,21,7.2
maize,maize,low_nitrogen,31.1,88,5.71,1983,44,37,36,6.4
wheat,maize,high_nitrogen,26.5,58,5.96,1537,41,21,43,5.6
tomato,tomato,high_nitrogen,25.0,73,14.78,1497,66,55,53,7.3
tomato,potato,low_nitrogen,32.2,52,9.99,1498,42,53,58,7.2
potato,cotton,balanced,22.2,55,4.6,6539,41,23,39,7.0
potato,tomato,balanced,26.5,42,15.53,1357,66,43,21,6.0
maize,maize,balanced,20.9,85,6.73,1725,66,30,40,6.0
cotton,rice,low_nitrogen,34.2,64,4.63,2333,27,26,46,7.0
maize,rice,high_nitrogen,28.1,82,4.97,2093,54,51,34,6.1
wheat,sugarcane,balanced,20.1,87,30.5,314,60,55,60,7.5
maize,potato,low_nitrogen,28.2,47,9.75,1490,51,41,48,7.0
maize,tomato,high_nitrogen,32.2,70,15.07,1500,57,48,38,6.8
sugarcane,maize,high_nitrogen,25.1,70,6.29,1412,44,21,38,6.3
tomato,maize,balanced,29.8,74,6.21,1758,59,53,52,6.1
potato,rice,high_nitrogen,32.0,47,4.99,1863,58,47,40,6.5
rice,groundnut,low_nitrogen,27.7,61,3.39,5378,40,42,31,6.7
cotton,wheat,low_nitrogen,26.1,68,4.42,2214,20,29,30,5.6
cotton,maize,balanced,31.8,43,6.33,1607,29,57,28,5.7
potato,maize,high_nitrogen,28.3,63,6.19,1582,59,25,38,6.8
cotton,groundnut,low_nitrogen,30.4,65,3.38,5782,24,43,36,6.4
rice,wheat,high_nitrogen,31.2,69,4.22,2460,48,56,44,6.4
tomato,groundnut,low_nitrogen,31.0,62,3.78,5424,49,56,30,5.6
cotton,cotton,high_nitrogen,30.4,57,3.88,7067,35,40,42,6.7
wheat,tomato,balanced,29.6,62,15.57,1884,58,47,34,5.9
cotton,cotton,balanced,25.8,83,4.57,6673,25,48,20,7.2
wheat,potato,low_nitrogen,23.2,71,10.22,1366,60,59,55,5.5
tomato,wheat,balanced,29.3,66,4.82,2419,67,39,29,6.2
potato,potato,low_nitrogen,26.2,57,10.13,1597,52,43,34,5.9
cotton,groundnut,low_nitrogen,30.3,81,3.76,5780,26,43,21,5.7
wheat,groundnut,low_nitrogen,21.7,61,3.4,5853,55,32,29,6.2
potato,sugarcane,low_nitrogen,34.0,58,30.05,200,47,43,31,5.6
