crop_type,soil_type,N,P,K,pH,rainfall_mm,temperature_c,humidity,yield_per_acre
Rice,Laterite,160.3,31.6,157.0,6.98,1170.0,12.0,56.7,3.96
Rice,Clay,9.0,145.6,167.3,5.06,536.4,15.3,44.3,2.18
Rice,Red,6.4,8.3,107.3,6.0,212.0,47.0,38.6,2.33
Rice,Black,105.3,90.9,14.1,7.04,509.3,10.6,95.9,5.11
Rice,Black,114.8,60.9,8.1,5.15,678.5,35.3,68.8,8.92
Rice,Loamy,55.5,101.1,65.8,6.6,1412.1,15.4,97.6,10.23
Rice,Alluvial,92.7,62.3,185.7,7.64,883.7,30.8,61.7,10.65
Rice,Alluvial,193.2,93.0,58.8,5.48,496.6,8.6,53.9,8.66
Rice,Loamy,43.7,5.8,164.0,7.53,1849.6,38.9,25.9,2.54
Rice,Laterite,170.8,70.2,23.6,5.85,1705.2,34.6,67.3,8.02
Rice,Red,178.0,73.5,28.3,7.57,1925.9,30.5,81.7,12.26
Rice,Laterite,26.6,68.7,44.3,8.48,1240.9,30.5,75.6,7.63
Rice,Sandy,53.6,64.5,152.3,5.14,284.8,19.6,32.9,4.67
Rice,Black,47.6,65.4,177.2,5.62,393.0,22.3,92.5,6.6
Rice,Loamy,49.4,66.9,164.5,8.3,116.7,28.4,53.4,4.29
Rice,Black,52.6,29.4,47.7,6.79,1069.2,10.6,40.3,8.18
Rice,Black,54.1,77.1,63.7,5.42,188.5,32.4,60.2,7.89
Rice,Alluvial,108.5,69.9,112.8,6.96,294.0,22.8,39.4,7.56
Rice,Red,76.7,96.7,128.5,6.68,316.7,41.4,45.7,5.77
Rice,Clay,143.7,122.4,73.0,4.48,2357.3,23.9,61.4,7.71
Rice,Loamy,136.8,111.6,45.8,6.71,1769.9,17.1,34.0,7.78
Rice,Loamy,52.2,18.5,180.0,8.5,1619.4,21.6,47.9,6.09
Rice,Clay,172.0,63.7,178.1,8.25,2345.5,39.4,73.5,3.68
Rice,Loamy,134.4,5.7,36.4,6.74,1760.5,34.1,37.9,9.71
Rice,Loamy,8.5,76.6,39.9,5.83,1886.0,36.8,44.6,8.53
Rice,Red,56.7,40.4,194.7,5.97,2240.9,33.2,83.6,10.08
Rice,Red,130.8,102.0,173.5,5.15,1298.1,30.9,81.5,4.07
Rice,Red,77.2,7.2,186.0,6.14,2420.0,46.5,88.2,3.47
Rice,Laterite,64.6,32.7,57.4,6.43,994.4,23.8,87.5,13.05
Rice,Laterite,32.3,80.2,176.1,7.7,1772.8,36.1,48.8,2.78
Rice,Sandy,62.8,65.9,55.0,7.06,295.8,8.2,70.2,5.5
Rice,Clay,70.9,59.5,23.3,6.89,186.3,26.6,63.4,9.64
Rice,Sandy,168.6,129.8,53.8,4.19,827.8,29.5,46.1,4.29
Rice,Black,126.5,17.4,15.1,6.66,1397.5,33.5,78.1,10.38
Rice,Sandy,194.1,108.6,13.0,5.99,1140.4,37.8,40.1,6.0
Rice,Loamy,38.8,27.7,53.8,6.75,1815.0,34.4,42.4,8.88
Rice,Sandy,148.9,85.4,124.3,6.1,694.6,22.2,80.6,5.87
